tipo,fecha,id_tuit,id_conversacion,cuenta_origen,texto,referencia_anuncio,likes,rts
ANUNCIO,2026-03-04 23:01:44+00:00,2029331488852852989,2029331488852852989,basubte,#Subte | Línea D: Servicio con demora,,3,0
REACCION,2026-03-05 22:01:40+00:00,2029678759498920009,,basubte,@basubte La tortura de viajar en los subtes de CABA. Odian al porteño. Maldad es la única explicación.  Soretes,#Subte | Línea D: Servicio con demora,0,0
REACCION,2026-03-05 02:06:08+00:00,2029377891545313342,,basubte,@basubte Siempre un quilombo se viaja como el orto,#Subte | Línea D: Servicio con demora,0,0
REACCION,2026-03-04 23:36:11+00:00,2029340156319150145,,basubte,@basubte Va leeeeeeenttoooooooo,#Subte | Línea D: Servicio con demora,0,0
REACCION,2026-03-04 23:04:09+00:00,2029332097505042723,,basubte,@basubte que sucede? mejor tomar otra cosa?,#Subte | Línea D: Servicio con demora,0,0
ANUNCIO,2026-03-03 17:50:41+00:00,2028890820309360870,2028890820309360870,basubte,#Premetro | Servicio normalizado,,8,0
REACCION,2026-03-05 22:01:48+00:00,2029678793976078410,,basubte,@basubte La tortura de viajar en los subtes de CABA. Odian al porteño. Maldad es la única explicación.  Soretes,#Premetro | Servicio normalizado,0,0
ANUNCIO,2026-03-03 17:25:34+00:00,2028884501913301195,2028884501913301195,basubte,#Premetro | Circula con destino único a Centro Cívico Lugano.,,5,0
MENCION_DIRECTA,2026-03-10 00:10:41+00:00,2031160777130860771,2031160777130860771,basubte,"""Anda a pedir la llave del baño que te la dan"" dicen... los empleados de @Emova_arg brillando por su ausencia   Lunes en horario pico (18:45) - Estacion Pasteur cerrada  @AguanteCerebro @basubte @Emova_arg @VecinosCon5633  #VamosAAuditarElSubte https://t.co/nfM11Y6Rsu",,0,0
MENCION_DIRECTA,2026-03-09 23:36:16+00:00,2031152119047205194,2031152119047205194,basubte,@basubte @pberecia Hay cosas mas importantes que solucionar que mostrar arbolitos VERGUENZA ABSOLUTA https://t.co/hD6t8UFh5N,,0,0
MENCION_DIRECTA,2026-03-09 23:02:17+00:00,2031143566995583447,2031102574313587025,basubte,@Nobady34477547 @AguanteCerebro No esta suspendido ????? Potque noninforman nada en redes sociales @Emova_arg  o @basubte,,0,0
MENCION_DIRECTA,2026-03-09 22:58:00+00:00,2031142488853909529,2031142488853909529,basubte,Lo peor es que vas a @Emova_arg  o a @basubte  y no informan nada. No dicen si el servicio esta interrumpido. NADA de NADA !!!!!!!!!! https://t.co/ZUiFGin9Vu,,0,0
MENCION_DIRECTA,2026-03-09 22:52:17+00:00,2031141048777412985,2031079191647584420,basubte,@VecinoBien @emova @AguanteCerebro @basubte @Emova_arg @VecinosCon5633 Subregencias... https://t.co/MuLYYK497b,,0,0
MENCION_DIRECTA,2026-03-09 22:48:33+00:00,2031140110511550859,2031125996187828438,basubte,@VecinosCon5633 @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor Usa NFC y listo! Dejen de llorar! Son las mabeles del subte,,0,0
MENCION_DIRECTA,2026-03-09 22:30:11+00:00,2031135486471791101,2031120976302236034,basubte,@VecinosCon5633 @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor Eso es agua cloacal con materia fecal.,,1,0
MENCION_DIRECTA,2026-03-09 22:13:42+00:00,2031131339366261005,2031074149280448661,basubte,@VecinoBien @Emova_arg @AguanteCerebro @basubte @VecinosCon5633 @caidodelcatre2 @CabaFisuras CABA CIUDAD FISURA @jorgemacri @gcba @claramuzzio @ibaistrocchi @proargentina @lauritalonso @cominvillanueva @MHPineiro @bacomunas @gloriallopiz @VecinosCon5633,,1,0
MENCION_DIRECTA,2026-03-09 22:09:14+00:00,2031130216676888734,2031121789162557595,basubte,"@VecinosCon5633 @jorgemacri @gcba @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor Sospecho que tamaño abandono es posible porque se trata de la Linea mas pobre del subte. Las quejas de la mayoria de quienes la usan a diario no importan tanto como si fuera la D, por ejemplo. Lo negaran, claro. Pero no serian creibles.",,1,0
